id,name,identifier,funder
fe169145-2a14-4919-8584-e89bcca94486,National Aeronautics and Space Administration grant,80NSSC22K0061,a4e07475-572f-48db-b2e7-5d59ea194465
06b9d069-b6ac-4465-8e3f-887d6b658fef,National Aeronautics and Space Administration grant,80NSSC20K1786,a4e07475-572f-48db-b2e7-5d59ea194465
92b21119-5990-4b0b-b60e-03e2c7568d5f,NSF PREEVENTS,1663800,d5a4780e-bb5f-4a1c-8ce0-641a66110ac5
a20e7e39-2591-4241-a8e0-b8dbd6f57113,NSF Space Weather with Quantified Uncertainty,PHY-2027555,d5a4780e-bb5f-4a1c-8ce0-641a66110ac5
929ca1aa-1282-4b1b-9d27-1436b12e5c80,Office of Naval Research Multidisciplinary University Research Initiative grant,ONR15-FOA-0011,1e7a4ba5-a5be-47ef-9415-d567e906b3ee
b0af9da1-5d54-4dd2-be9f-79e51b1e9d05,Parker Solar Probe Integrated Science Investigation of the Sun,136435,c84428f2-df59-4ecd-b725-25cf6ab57f72
4acddf85-fcdc-4744-9f89-7a9174d42cd0,PlasmaPy Infrastructure and Maintenance,80NSSC25K0360,a4e07475-572f-48db-b2e7-5d59ea194465
ebb17407-49fb-40b8-9cf3-f931b3a0358b,Postgraduate Research Studentship,,cdbe3c65-8ac5-4eb8-af51-53a6e969e5b3
0f11fabc-3f03-4476-adfb-387dca895e7c,Research and Development Grant,059RDEN-1,4910d9ce-52be-4e08-9dd4-d1d013b7641b
ed08279c-a254-4279-b8d5-4f9bb29f07b0,Science and Technology Facilities Council grant,ST/S000240/1,f0c58f65-cf25-46c5-b716-9c82564901c6
9d5dfaeb-dcc6-4504-af7a-c708fdbcfc0e,Scientific and Technological Excellence by Leveraging LOFAR Advancements in Radio Astronomy,952439,8e3350ef-76e3-4a63-93f6-8cecfad3b9b4
a76fea8a-7cf6-4c14-858f-96246bafbffb,SI2-SSE: Wavelet Enabled Progressive Data Access and Storage Protocol (WASP),ACI-14-40412,d5a4780e-bb5f-4a1c-8ce0-641a66110ac5
0579e91b-6fe8-43a3-91f1-05a59409a8f6,SIDC Data Exploitation,PRODEX-12,1e6cfcf1-e74d-4a24-89d8-ac40137f044e
68a9b11e-313e-4950-a7aa-72b70fe039fd,SunPy support for multidimensional data and spectropolarimetric analysis,19-HDEE19_2-0018,a4e07475-572f-48db-b2e7-5d59ea194465
f3b008b1-6cd7-4810-aa8c-8aa46242d8a7,"Swarm Data, Innovation, and Science Cluster (Swarm DISC)",4000109587/13/I-NB,1e6cfcf1-e74d-4a24-89d8-ac40137f044e
463bfdaf-50ab-40ec-abd1-92d7d58f6403,Swedish National Space Agency postdoctoral grant,DNR-155A/17,14b7348c-636f-4142-b5ed-eea92095ad44
8d7a00ee-e068-4c8d-952c-e2f3c20f6d8a,SWiM,B2/191/P1/SWiM,03b59ca0-3bb1-4994-a103-3bb4d03602dc
a41c320b-c274-4291-ba36-a1c88493e7ec,TIMED/GUVI Project,NNX14AK74G,a4e07475-572f-48db-b2e7-5d59ea194465
9f9f0d0b-0196-461d-ab65-3c32291af507,Understanding the high-latitude geospace system to the point of prediction: The Heliophysics KNOWledge Network (Helio-KNOW),80NSSC21K0622,a4e07475-572f-48db-b2e7-5d59ea194465
2adca1f3-a9c8-4f91-91b6-3b353547f9cc,U.S. National Science Foundation grant,AGS-1952737,d5a4780e-bb5f-4a1c-8ce0-641a66110ac5
d72fda36-c177-4c50-a7a6-71121ed5eadc,U.S. National Science Foundation grant,AGS-2033787,d5a4780e-bb5f-4a1c-8ce0-641a66110ac5
d5b6f181-a410-411f-9fc9-3eefe515bf4f,U.S. National Science Foundation grant,1503389,d5a4780e-bb5f-4a1c-8ce0-641a66110ac5
07dab8d4-4651-4f07-be32-5cc7a953b79e,"Van Allen Probes Radiation Belt Storm Probe, Energetic particle, Composition, and Thermal plasma suite",967399,c84428f2-df59-4ecd-b725-25cf6ab57f72
0842077a-882d-4fc7-b441-c50848e01998,Virtual Observatories,05-S3CVO05-11,a4e07475-572f-48db-b2e7-5d59ea194465
653032f7-4282-47e7-85a5-50d304b96506,WEAVE,G.0025.23N,2ec788a5-449c-4032-90dd-62235065901a
