id,name,identifier,definition,abbreviation,backgroundColor,textColor,children
3b80be59-9259-48e1-b379-7ad249d9829c,Forward-Fitting,https://Heliophysics-Software-Search-Interface.readthedocs.io/en/latest.html/SoftwareFunctionality#ForwardFitting,,FoFi,#ACB8E5,#000000,
e8e5f6e3-00f7-4315-8e2b-982e5b17118f,Instrument Response,https://Heliophysics-Software-Search-Interface.readthedocs.io/en/latest.html/SoftwareFunctionality#InstrumentResponse,,InRe,#ACB8E5,#000000,
ad414841-fc09-4d30-bd04-455d853bb168,MHD,https://Heliophysics-Software-Search-Interface.readthedocs.io/en/latest.html/SoftwareFunctionality#MHD,,Mhd,#ACB8E5,#000000,
2c3c517c-12d1-4793-9987-4efc258cac98,Mission-Specific,https://Heliophysics-Software-Search-Interface.readthedocs.io/en/latest.html/SoftwareFunctionality#MissionSpecific,,MiSp,#ACB8E5,#000000,
ac6fe709-3c38-45e1-a775-76f9abce3cc9,ML/AI,https://Heliophysics-Software-Search-Interface.readthedocs.io/en/latest.html/SoftwareFunctionality#MLAI,,Ml/A,#ACB8E5,#000000,
f1953940-f715-4b72-923f-d76df1fc745d,Observatory/Instrument Models,https://Heliophysics-Software-Search-Interface.readthedocs.io/en/latest.html/SoftwareFunctionality#ObsInst,,ObMo,#ACB8E5,#000000,
b4a325fa-ce80-4644-a435-f0c79653bb0b,Physics-Based,https://Heliophysics-Software-Search-Interface.readthedocs.io/en/latest.html/SoftwareFunctionality#PhysicsBased,,PhBa,#ACB8E5,#000000,
0d81f359-27f1-421c-82ad-edaeebaf76fc,Theory,https://Heliophysics-Software-Search-Interface.readthedocs.io/en/latest.html/SoftwareFunctionality#Theory,,Theo,#ACB8E5,#000000,
b9476a56-9308-4113-840d-663a59492d95,Data servers processing and handling,https://Heliophysics-Software-Search-Interface.readthedocs.io/en/latest.html/SoftwareFunctionality#ServersProcessing,,DSAH,#D9ACE5,#000000,
33868a23-b8aa-44a0-aef2-9d1390a41440,Distribution/Access,https://Heliophysics-Software-Search-Interface.readthedocs.io/en/latest.html/SoftwareFunctionality#DistributionAccess,,Dist,#D9ACE5,#000000,
15f39a71-771e-4789-b708-c50e6dcdfd36,High Performance Computing,https://Heliophysics-Software-Search-Interface.readthedocs.io/en/latest.html/SoftwareFunctionality#HPC,,HiPC,#D9ACE5,#000000,
1579f99b-4520-4c28-bfba-4c1a9ad69caa,Infrastructure as Code,https://Heliophysics-Software-Search-Interface.readthedocs.io/en/latest.html/SoftwareFunctionality#IaC,,InAC,#D9ACE5,#000000,
6d312d5f-2c94-400e-bd02-48b2c8776c02,Software or Environment Container,https://Heliophysics-Software-Search-Interface.readthedocs.io/en/latest.html/SoftwareFunctionality#Container,,SOEC,#D9ACE5,#000000,
44b902c2-5ba1-4659-b67a-55eaebf80103,Data Processing and Analysis,https://Heliophysics-Software-Search-Interface.readthedocs.io/en/latest.html/SoftwareFunctionality#DataProcessingAnalysis,,DPAA,#E5C550,#000000,"065c9d2a-53fa-4990-bdd6-4d50fa50e7ef,74afbe0b-0908-4703-8046-730855a2d4a1,df6a7b98-b424-4489-97d6-2b124d28413b,0dc070e8-3593-4362-8002-7a206190c7bf,af8c471e-4e6e-43fa-b554-de1a82464954,e9793074-d918-49fd-82ce-ef23568b6f21,c892ce25-dc53-4778-82fd-e7b10c782311,b0579fc1-60d6-44c5-8713-009310b8d0dc,5b6959c8-a402-490d-aba1-4575411a71a8,62ae6f0d-f472-4d9e-80d9-268963cdcdd1,ce8d49ba-50c8-4b5e-9746-dbf66f466da4,4b81c5c3-4460-4988-9fb3-921876907414,a90967ea-7a2c-4936-97b3-6ebcedfc39e8,5259b186-fa27-4169-b7a7-6dc05de8e61b,2114004f-85c3-473c-9743-4b439a18e9e2,baa5b471-b2a7-4827-89a4-44a19954b97d,1b99c2d9-f137-4f3e-9acb-14c62ebdacb8,8e94f70c-3a1a-400f-aa0c-a64aa8076fe7,9e8d694d-33bf-4891-8964-8b2cba2c43af,35f3d31b-1ef8-49e2-84ac-19dc3d09bb8f,f28a0944-e1ff-4382-a295-189f49398074,43779e49-5c46-4901-a75c-4f1e52b74ebd,7bdd86c7-ad35-4a73-aaa6-087a0ba6b0e5"
7bdd86c7-ad35-4a73-aaa6-087a0ba6b0e5,Time Series Analysis,https://Heliophysics-Software-Search-Interface.readthedocs.io/en/latest.html/SoftwareFunctionality#TimeSeriesAnalysis,,TiSA,#E5D9AC,#000000,
99e7f718-cdeb-495d-8a40-b8371420c602,Spacecraft Formation Plots,https://Heliophysics-Software-Search-Interface.readthedocs.io/en/latest.html/SoftwareFunctionality#SpacecraftPlots,,SpFP,#B8E5AC,#000000,
0c89b392-9a9b-4b7c-b7a2-aacfa6dcfdb3,Instrument Response,https://Heliophysics-Software-Search-Interface.readthedocs.io/en/latest.html/SoftwareFunctionality#InstrumentResponse,,InRe,#ACE5D9,#000000,
8ab32882-0bdb-4964-b734-575e17b76d5c,Servers and Environments,https://Heliophysics-Software-Search-Interface.readthedocs.io/en/latest.html/SoftwareFunctionality#ServersEnvironments,,SeAE,#C550E5,#FFFFFF,"b9476a56-9308-4113-840d-663a59492d95,33868a23-b8aa-44a0-aef2-9d1390a41440,15f39a71-771e-4789-b708-c50e6dcdfd36,1579f99b-4520-4c28-bfba-4c1a9ad69caa,6d312d5f-2c94-400e-bd02-48b2c8776c02"
