id,name
03bac30a-d541-42f6-afef-fc448d2964d1,rhessi
ec224f7a-6057-4788-9cf6-4c12e721351b,rinex
75bb205f-3b77-4cce-81db-946ef63fb29a,rotational tomography
ce4fbe62-bf60-4924-88c6-e3413fc872eb,sami2
b5aa09a9-9577-4221-b67e-1070d2b4c569,satellite
da460356-759d-4e35-9b12-f9154027ecd7,satellite data
5b838c99-5d22-4909-a9df-3aa42e5c2510,satellite flythrough
8dd20d5d-428d-4abd-b7f2-57512caa1fa8,satellite-magnetometer
644614e2-c3d6-4741-a921-b74be24d693a,science
5da972d8-3b26-4d16-bad1-41d06ddf20a9,science research
9ef246ca-94e3-439e-8cb5-99e6fb432bc2,scientific computing
23f422cd-5ca0-4dcc-90bd-f25b4e7db13d,scikit-build-core
2c292171-063a-4496-bb9c-b1044bbc1ad9,sciqlop
0d9846f8-29c2-42e2-a08e-26c24af629ff,sdo
d99fb2cc-e062-4795-87e7-5e49bddbfbc3,sep
00231ac0-f821-43f8-871f-4f3b7e50fd34,shock waves
20d35b2e-2997-48c2-a6e0-30320700bb0f,shue
7921bb57-c325-4b2c-911f-9f042bd8876d,siddon algorithm
7bc60317-69e4-456b-bf9e-c197ffc183ef,simulation
e1a805fd-8b80-4289-95ce-a77b40c785ed,soho
bca84a17-1bf6-426c-8404-cc80ae987ead,solar
57966745-3351-4de7-a481-ee3920f25055,solar dynamics observatory
9aac2895-9937-4773-95c2-e2bcbc20a25f,solar orbiter
89ac1236-d27e-48d4-bed0-9dd239b93856,solar physics
94074979-2312-4c5f-8f34-a36f04851df9,solar soft
21f53601-3f23-4535-9278-9f0fac292a45,solar terrestrial physics
7dbf8b44-ce6d-4e1b-8513-ed5796f00e01,solar wind
8d1bff6f-648b-442d-859a-35fba1c4069f,solo
3d090b8e-b8e0-481a-88b8-232347f68330,southern lights
cc4ca53a-385e-4a68-80f6-81ca9b844f1f,sp3
a0bcc826-5d43-47fa-84b9-08c3bb65b8ef,space
1f629abd-fc09-4079-a895-d77de362d60c,spacecraft data
b45abf60-b032-4a11-b927-ba56e1e6f2f6,spacecraft measurements
b2c75140-07b4-45be-ada7-0f5e0bec0033,space physics
013640e4-a0da-4e4c-86eb-68b84ce834de,space-physics
8f27b913-c9c6-4f4c-a07c-e5585fa7fb88,space plasma
e9c1a041-0658-41fa-bff3-6d984be93e16,space plasmas
00306798-badf-492d-86a0-06dc929cc690,space science
cff2bf61-81e0-4f96-bb6b-ac5521a98f3a,space weather
0364496f-25f0-4e3e-a4ad-b6089686248c,"space weather, heliophysics, artificial intelligence, machine learning, cloud computing, python, amazon web services"
6d911a12-417c-45aa-9b6b-57379d432d33,specific
76503b4d-abf9-48b2-8ba4-64a54fbe2105,spectra
55fe7d90-2260-4292-92c8-a72005c0d7a3,spectral data
b4e50c00-fe91-46ab-9373-bd4c7f382085,spectrogram plots
c79fdbb6-60b9-40eb-b08e-ab3e4870dfaa,spectrograms
1fe692ab-c81d-49ff-947d-a64bf9e42524,spectrograph
4c9c357f-a11b-4ede-b32c-46bac8532a13,spectrometer
0a20ea22-d50b-4cb2-802b-733f9611c720,spectroscopy
dbfc52db-2a28-44e7-8515-6bc5c8db9ac5,spedas
9587b754-1224-42cd-b1c6-de0c29979782,spice
6ff00ac7-49cf-4b1d-ac93-fe3fbc513e58,spiceypy
191d033f-64ad-4945-8d6b-a162ae9161c9,sscweb
125651f2-6fd0-4b56-9466-15f7e918fd67,ssw
06d0229d-e8b8-4605-8380-af5837b0035f,sswidl
6a0dbdb3-2b48-4057-8c8d-067a860f6e75,standard
07856a45-58dc-4549-a6af-63cd4be1ce4b,statistical analysis
f6eb2b1f-78e8-41ed-a490-c7e41f608b3f,stereo
fc062896-5b9f-4360-aed3-6501c64a2eae,stratosphere
8407aacc-5550-47b9-abe2-ec0688e9aa9a,sun
