id,sort_value,software,functioncategory
727,10,8ee452af-f474-42ab-900a-691a1e25257f,5552c480-2ab8-4536-a9d6-07e62af64e08
705,10,b5867d88-1fd5-476e-98e0-498ccbf41655,5552c480-2ab8-4536-a9d6-07e62af64e08
699,10,b5742bb7-4c8e-45cd-9429-65cb75f32795,5552c480-2ab8-4536-a9d6-07e62af64e08
678,11,20aeb28e-66c8-4695-a722-89a7f807c795,7efdd547-fdec-4698-b5bd-2e9f817abb57
745,11,e2069dd1-ba2f-45fa-b2b7-9052a16f74cc,4b1f8cd5-9244-4b15-913d-4e8266bf2c02
750,11,d6fa3131-3ab1-48c9-bd8b-31c0461a9fb5,4b1f8cd5-9244-4b15-913d-4e8266bf2c02
729,11,b5867d88-1fd5-476e-98e0-498ccbf41655,eb2198d1-201d-4eef-a296-86f857fa8876
732,11,1fd6fa60-cd5d-4e38-bfea-ea8dc5b25eaa,eb2198d1-201d-4eef-a296-86f857fa8876
733,11,8ee452af-f474-42ab-900a-691a1e25257f,eb2198d1-201d-4eef-a296-86f857fa8876
658,11,91f97996-69a3-43b8-bdfc-20895502415f,7efdd547-fdec-4698-b5bd-2e9f817abb57
734,11,b5742bb7-4c8e-45cd-9429-65cb75f32795,4b1f8cd5-9244-4b15-913d-4e8266bf2c02
662,11,e8b6fe34-d598-4d53-86d0-288bc004c3e7,7efdd547-fdec-4698-b5bd-2e9f817abb57
669,11,1744df14-f1f1-451b-a384-28e3a1beba7f,7efdd547-fdec-4698-b5bd-2e9f817abb57
673,11,a73ebc78-1f89-4af8-8f67-2e35de947d16,7efdd547-fdec-4698-b5bd-2e9f817abb57
674,11,dab7d824-81ec-49ba-911a-b3d081469a84,7efdd547-fdec-4698-b5bd-2e9f817abb57
710,12,1744df14-f1f1-451b-a384-28e3a1beba7f,5552c480-2ab8-4536-a9d6-07e62af64e08
706,12,e8b6fe34-d598-4d53-86d0-288bc004c3e7,5552c480-2ab8-4536-a9d6-07e62af64e08
703,12,91f97996-69a3-43b8-bdfc-20895502415f,5552c480-2ab8-4536-a9d6-07e62af64e08
748,12,20aeb28e-66c8-4695-a722-89a7f807c795,4b1f8cd5-9244-4b15-913d-4e8266bf2c02
713,12,dab7d824-81ec-49ba-911a-b3d081469a84,5552c480-2ab8-4536-a9d6-07e62af64e08
712,12,a73ebc78-1f89-4af8-8f67-2e35de947d16,5552c480-2ab8-4536-a9d6-07e62af64e08
648,13,b8495e18-9a18-4e8f-8b88-85db6e74ec22,36b12c63-da8f-404a-909f-8e14df8cc7d4
645,13,bdd706f0-b987-446b-b650-78d9d86f00b2,36b12c63-da8f-404a-909f-8e14df8cc7d4
689,14,b8495e18-9a18-4e8f-8b88-85db6e74ec22,7efdd547-fdec-4698-b5bd-2e9f817abb57
676,14,bdd706f0-b987-446b-b650-78d9d86f00b2,7efdd547-fdec-4698-b5bd-2e9f817abb57
715,15,bdd706f0-b987-446b-b650-78d9d86f00b2,5552c480-2ab8-4536-a9d6-07e62af64e08
721,15,b8495e18-9a18-4e8f-8b88-85db6e74ec22,5552c480-2ab8-4536-a9d6-07e62af64e08
730,16,bdd706f0-b987-446b-b650-78d9d86f00b2,eb2198d1-201d-4eef-a296-86f857fa8876
731,16,b8495e18-9a18-4e8f-8b88-85db6e74ec22,eb2198d1-201d-4eef-a296-86f857fa8876
