id,sort_value,software,region
443,3,596d3936-d754-4c02-b8ae-20f69d4ac16b,92ec40e6-66f8-4836-8116-7255c2ec1c11
431,3,1b5fd49d-9131-46ee-b56a-70efbb1effe5,dc5b9f37-8f97-454d-a7aa-21cf4aa94ddc
339,3,a7f6fd15-9b3c-4cae-a029-0da92222f465,570cc790-dccf-4795-b3ca-5304457e5658
353,3,91f97996-69a3-43b8-bdfc-20895502415f,570cc790-dccf-4795-b3ca-5304457e5658
356,3,f6e3429d-e80e-4cf6-889e-44af1e93f87d,570cc790-dccf-4795-b3ca-5304457e5658
446,3,7bd65217-fdbe-4945-a657-496a494fff48,dc5b9f37-8f97-454d-a7aa-21cf4aa94ddc
369,3,b5867d88-1fd5-476e-98e0-498ccbf41655,92ec40e6-66f8-4836-8116-7255c2ec1c11
364,3,d176bc00-f198-4250-b9d7-5193f621fd60,570cc790-dccf-4795-b3ca-5304457e5658
415,3,9188840c-25ba-4ec8-b8c3-d32413aaf7a0,570cc790-dccf-4795-b3ca-5304457e5658
456,4,b8495e18-9a18-4e8f-8b88-85db6e74ec22,92ec40e6-66f8-4836-8116-7255c2ec1c11
340,4,a7f6fd15-9b3c-4cae-a029-0da92222f465,dc5b9f37-8f97-454d-a7aa-21cf4aa94ddc
365,4,d176bc00-f198-4250-b9d7-5193f621fd60,dc5b9f37-8f97-454d-a7aa-21cf4aa94ddc
379,4,aebd4757-08dc-4ca0-be33-aa85171de59d,92ec40e6-66f8-4836-8116-7255c2ec1c11
495,4,82f57fc4-357f-49d3-af4b-e8bfb0a35210,92ec40e6-66f8-4836-8116-7255c2ec1c11
357,4,f6e3429d-e80e-4cf6-889e-44af1e93f87d,dc5b9f37-8f97-454d-a7aa-21cf4aa94ddc
358,5,f6e3429d-e80e-4cf6-889e-44af1e93f87d,92ec40e6-66f8-4836-8116-7255c2ec1c11
366,5,d176bc00-f198-4250-b9d7-5193f621fd60,92ec40e6-66f8-4836-8116-7255c2ec1c11
341,5,a7f6fd15-9b3c-4cae-a029-0da92222f465,92ec40e6-66f8-4836-8116-7255c2ec1c11
